time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	7.68725e-06	25788.6
1	7.68725e-06	1.55742e-05	24121.5
2	1.55742e-05	2.36715e-05	8468.58
3	2.36715e-05	3.19906e-05	5021.48
4	3.19906e-05	4.05442e-05	3718.73
5	4.05442e-05	4.93456e-05	3162.15
6	4.93456e-05	5.84099e-05	2933.31
7	5.84099e-05	6.77531e-05	2859.01
8	6.77531e-05	7.7393e-05	2847.13
9	7.7393e-05	8.73489e-05	2846.87
10	8.73489e-05	9.76425e-05	2828.6
11	9.76425e-05	0.000108297	2828.6
12	0.000108297	0.00011934	2796.05
13	0.00011934	0.000130799	2796.05
14	0.000130799	0.000142707	2800.57
15	0.000142707	0.000155102	2800.57
16	0.000155102	0.000168024	2851.59
17	0.000168024	0.000181521	2851.59
18	0.000181521	0.000195646	2929.77
19	0.000195646	0.00021046	2929.77
20	0.00021046	0.000226035	3014.57
21	0.000226035	0.000242451	3014.57
22	0.000242451	0.000259806	3088.35
23	0.000259806	0.000278213	3088.35
24	0.000278213	0.000297809	3127.58
25	0.000297809	0.000318758	3127.58
26	0.000318758	0.000341259	3096.31
27	0.000341259	0.000365562	3096.31
28	0.000365562	0.000391982	2945.73
29	0.000391982	0.000420921	2945.73
30	0.000420921	0.000452911	2617.59
31	0.000452911	0.000488674	2617.59
32	0.000488674	0.000529218	2064.27
33	0.000529218	0.000576023	2064.27
34	0.000576023	0.000631381	1316.8
35	0.000631381	0.000699134	1316.8
36	0.000699134	0.000786483	576.203
37	0.000786483	0.000909594	576.203
38	0.000909594	0.00112005	223.329
39	0.00112005	inf	223.329
