group block segsites
1 1 47323
1 2 46447
1 3 45420
1 4 48462
1 5 47744
1 6 49408
1 7 48498
1 8 46741
1 9 50861
1 10 47679
2 1 47847
2 2 45723
2 3 47243
2 4 43635
2 5 35909
2 6 46319
2 7 45144
2 8 49023
2 9 49016
2 10 46325
3 1 47358
3 2 47967
3 3 46038
3 4 49336
3 5 53616
3 6 46860
3 7 51425
3 8 39097
3 9 43250
3 10 33713
4 1 51876
4 2 50455
4 3 50055
4 4 47827
4 5 46071
4 6 49309
4 7 53428
4 8 48377
4 9 45573
4 10 45807
5 1 49183
5 2 53814
5 3 48764
5 4 50302
5 5 50578
5 6 47326
5 7 50602
5 8 46423
5 9 43136
5 10 45367
6 1 46489
6 2 49859
6 3 48920
6 4 47635
6 5 49938
6 6 46659
6 7 51021
6 8 48811
6 9 44470
6 10 44004
