time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.07304e-06	14238.5
1	3.07304e-06	6.22591e-06	19548.7
2	6.22591e-06	9.46286e-06	20450.8
3	9.46286e-06	1.27885e-05	21480.5
4	1.27885e-05	1.62078e-05	18356.4
5	1.62078e-05	1.97263e-05	14497.9
6	1.97263e-05	2.33498e-05	11664.3
7	2.33498e-05	2.70848e-05	9964.19
8	2.70848e-05	3.09385e-05	9104.6
9	3.09385e-05	3.49184e-05	8816.92
10	3.49184e-05	3.90334e-05	9103.32
11	3.90334e-05	4.32927e-05	9103.32
12	4.32927e-05	4.77069e-05	10129.8
13	4.77069e-05	5.22878e-05	10129.8
14	5.22878e-05	5.70484e-05	11440
15	5.70484e-05	6.20033e-05	11440
16	6.20033e-05	6.71691e-05	12622.7
17	6.71691e-05	7.25646e-05	12622.7
18	7.25646e-05	7.82111e-05	13409.7
19	7.82111e-05	8.41332e-05	13409.7
20	8.41332e-05	9.03591e-05	13642.4
21	9.03591e-05	9.69217e-05	13642.4
22	9.69217e-05	0.00010386	13232
23	0.00010386	0.000111218	13232
24	0.000111218	0.000119052	12147
25	0.000119052	0.000127426	12147
26	0.000127426	0.000136421	10423.3
27	0.000136421	0.000146136	10423.3
28	0.000146136	0.000156698	8187.94
29	0.000156698	0.000168266	8187.94
30	0.000168266	0.000181055	5703.48
31	0.000181055	0.000195351	5703.48
32	0.000195351	0.000211559	3377.36
33	0.000211559	0.00023027	3377.36
34	0.00023027	0.0002524	1617.57
35	0.0002524	0.000279484	1617.57
36	0.000279484	0.000314403	588.03
37	0.000314403	0.000363618	588.03
38	0.000363618	0.000447751	244.588
39	0.000447751	inf	244.588
