group block segsites
1 1 46926
1 2 41340
1 3 45289
1 4 40323
1 5 43601
1 6 38964
1 7 45781
1 8 46366
1 9 45608
1 10 43340
2 1 40257
2 2 38297
2 3 45801
2 4 43122
2 5 49016
2 6 42505
2 7 45830
2 8 41561
2 9 46344
2 10 43307
3 1 46350
3 2 45633
3 3 50673
3 4 42996
3 5 48485
3 6 47720
3 7 42137
3 8 42342
3 9 42158
3 10 44640
4 1 38995
4 2 25608
4 3 46062
4 4 45063
4 5 47371
4 6 44552
4 7 42336
4 8 43236
4 9 46310
4 10 46155
5 1 48673
5 2 43578
5 3 45195
5 4 48075
5 5 46455
5 6 40171
5 7 37821
5 8 38419
5 9 43517
5 10 45911
6 1 42795
6 2 42364
6 3 42435
6 4 43248
6 5 40110
6 6 42644
6 7 43109
6 8 45122
6 9 45115
6 10 42748
