group block segsites
1 1 5083
1 2 5267
1 3 5649
1 4 5630
1 5 6040
1 6 5220
1 7 4947
1 8 5550
1 9 6304
1 10 5778
2 1 6102
2 2 5286
2 3 5846
2 4 5044
2 5 5472
2 6 5620
2 7 4868
2 8 5610
2 9 6055
2 10 5468
3 1 4545
3 2 5657
3 3 5389
3 4 6090
3 5 5684
3 6 5873
3 7 5544
3 8 5955
3 9 5473
3 10 5480
4 1 5838
4 2 5907
4 3 5464
4 4 5705
4 5 5453
4 6 5670
4 7 5502
4 8 5580
4 9 5553
4 10 5477
5 1 5474
5 2 5149
5 3 5645
5 4 5535
5 5 5312
5 6 5662
5 7 5662
5 8 5473
5 9 5788
5 10 5761
6 1 5785
6 2 5389
6 3 6263
6 4 5957
6 5 5267
6 6 5277
6 7 5383
6 8 5492
6 9 5542
6 10 5740
