time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.04693e-06	20713.5
1	3.04693e-06	6.17302e-06	66261.7
2	6.17302e-06	9.38248e-06	26267.4
3	9.38248e-06	1.26799e-05	16809.2
4	1.26799e-05	1.60702e-05	13095.6
5	1.60702e-05	1.95587e-05	11012.2
6	1.95587e-05	2.31515e-05	9780.48
7	2.31515e-05	2.68548e-05	9137.16
8	2.68548e-05	3.06756e-05	8915.89
9	3.06756e-05	3.46218e-05	8999.87
10	3.46218e-05	3.87018e-05	9540.19
11	3.87018e-05	4.29249e-05	9540.19
12	4.29249e-05	4.73017e-05	10625.8
13	4.73017e-05	5.18436e-05	10625.8
14	5.18436e-05	5.65638e-05	11829.3
15	5.65638e-05	6.14766e-05	11829.3
16	6.14766e-05	6.65985e-05	12862
17	6.65985e-05	7.19482e-05	12862
18	7.19482e-05	7.75467e-05	13507.5
19	7.75467e-05	8.34185e-05	13507.5
20	8.34185e-05	8.95915e-05	13589.4
21	8.95915e-05	9.60984e-05	13589.4
22	9.60984e-05	0.000102977	12977.5
23	0.000102977	0.000110273	12977.5
24	0.000110273	0.00011804	11622.8
25	0.00011804	0.000126343	11622.8
26	0.000126343	0.000135262	9605.23
27	0.000135262	0.000144895	9605.23
28	0.000144895	0.000155367	7163.13
29	0.000155367	0.000166837	7163.13
30	0.000166837	0.000179517	4677.83
31	0.000179517	0.000193692	4677.83
32	0.000193692	0.000209762	2581.42
33	0.000209762	0.000228314	2581.42
34	0.000228314	0.000250256	1160.55
35	0.000250256	0.00027711	1160.55
36	0.00027711	0.000311732	406.535
37	0.000311732	0.000360529	406.535
38	0.000360529	0.000443947	174.632
39	0.000443947	inf	174.632
