time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.84694e-06	28846.9
1	2.84694e-06	5.76783e-06	74809.4
2	5.76783e-06	8.76662e-06	27346.9
3	8.76662e-06	1.18476e-05	17349.9
4	1.18476e-05	1.50153e-05	13666.2
5	1.50153e-05	1.82749e-05	11624.6
6	1.82749e-05	2.16318e-05	10379.5
7	2.16318e-05	2.5092e-05	9687.18
8	2.5092e-05	2.86621e-05	9402.97
9	2.86621e-05	3.23493e-05	9423.08
10	3.23493e-05	3.61614e-05	9885.37
11	3.61614e-05	4.01074e-05	9885.37
12	4.01074e-05	4.41968e-05	10922.9
13	4.41968e-05	4.84407e-05	10922.9
14	4.84407e-05	5.28509e-05	12166.1
15	5.28509e-05	5.74413e-05	12166.1
16	5.74413e-05	6.2227e-05	13304
17	6.2227e-05	6.72255e-05	13304
18	6.72255e-05	7.24566e-05	14087.8
19	7.24566e-05	7.7943e-05	14087.8
20	7.7943e-05	8.37108e-05	14331.5
21	8.37108e-05	8.97906e-05	14331.5
22	8.97906e-05	9.62179e-05	13888.4
23	9.62179e-05	0.000103035	13888.4
24	0.000103035	0.000110292	12646.8
25	0.000110292	0.00011805	12646.8
26	0.00011805	0.000126384	10579.7
27	0.000126384	0.000135384	10579.7
28	0.000135384	0.000145169	7858.26
29	0.000145169	0.000155886	7858.26
30	0.000155886	0.000167734	4958.72
31	0.000167734	0.000180978	4958.72
32	0.000180978	0.000195993	2541.5
33	0.000195993	0.000213327	2541.5
34	0.000213327	0.000233829	1022.34
35	0.000233829	0.000258921	1022.34
36	0.000258921	0.00029127	314.482
37	0.00029127	0.000336864	314.482
38	0.000336864	0.000414807	140.718
39	0.000414807	inf	140.718
