time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	7.94444e-06	22629
1	7.94444e-06	1.60952e-05	21394.8
2	1.60952e-05	2.44634e-05	7974.36
3	2.44634e-05	3.30609e-05	4824.07
4	3.30609e-05	4.19006e-05	3699.7
5	4.19006e-05	5.09966e-05	3216.67
6	5.09966e-05	6.03641e-05	2978.04
7	6.03641e-05	7.00199e-05	2844.65
8	7.00199e-05	7.99823e-05	2764.15
9	7.99823e-05	9.02713e-05	2717.39
10	9.02713e-05	0.000100909	2695.43
11	0.000100909	0.000111921	2695.43
12	0.000111921	0.000123332	2721.24
13	0.000123332	0.000135175	2721.24
14	0.000135175	0.000147482	2784.51
15	0.000147482	0.000160291	2784.51
16	0.000160291	0.000173646	2860.09
17	0.000173646	0.000187594	2860.09
18	0.000187594	0.000202192	2933.71
19	0.000202192	0.000217502	2933.71
20	0.000217502	0.000233597	2998.53
21	0.000233597	0.000250563	2998.53
22	0.000250563	0.000268498	3047.53
23	0.000268498	0.000287522	3047.53
24	0.000287522	0.000307773	3064.42
25	0.000307773	0.000329422	3064.42
26	0.000329422	0.000352676	3019.38
27	0.000352676	0.000377793	3019.38
28	0.000377793	0.000405096	2868.19
29	0.000405096	0.000435003	2868.19
30	0.000435003	0.000468064	2553.97
31	0.000468064	0.000505023	2553.97
32	0.000505023	0.000546924	2026.8
33	0.000546924	0.000595295	2026.8
34	0.000595295	0.000652505	1309.55
35	0.000652505	0.000722525	1309.55
36	0.000722525	0.000812796	587.322
37	0.000812796	0.000940027	587.322
38	0.000940027	0.00115753	232.995
39	0.00115753	inf	232.995
