time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	7.36929e-06	27839.1
1	7.36929e-06	1.493e-05	24572.4
2	1.493e-05	2.26924e-05	8617.49
3	2.26924e-05	3.06674e-05	5278.97
4	3.06674e-05	3.88672e-05	4003.8
5	3.88672e-05	4.73046e-05	3390.63
6	4.73046e-05	5.59939e-05	3078.36
7	5.59939e-05	6.49507e-05	2922.36
8	6.49507e-05	7.41918e-05	2846.34
9	7.41918e-05	8.3736e-05	2809.55
10	8.3736e-05	9.36038e-05	2791.33
11	9.36038e-05	0.000103818	2791.33
12	0.000103818	0.000114403	2804.2
13	0.000114403	0.000125389	2804.2
14	0.000125389	0.000136805	2853.27
15	0.000136805	0.000148687	2853.27
16	0.000148687	0.000161075	2926.47
17	0.000161075	0.000174013	2926.47
18	0.000174013	0.000187554	3010.86
19	0.000187554	0.000201755	3010.86
20	0.000201755	0.000216685	3094.89
21	0.000216685	0.000232423	3094.89
22	0.000232423	0.00024906	3164.77
23	0.00024906	0.000266706	3164.77
24	0.000266706	0.000285491	3198.41
25	0.000285491	0.000305573	3198.41
26	0.000305573	0.000327144	3159.13
27	0.000327144	0.000350442	3159.13
28	0.000350442	0.000375768	2993.12
29	0.000375768	0.000403511	2993.12
30	0.000403511	0.000434178	2633.64
31	0.000434178	0.000468461	2633.64
32	0.000468461	0.000507328	2030.37
33	0.000507328	0.000552197	2030.37
34	0.000552197	0.000605266	1237.97
35	0.000605266	0.000670217	1237.97
36	0.000670217	0.000753953	505.104
37	0.000753953	0.000871972	505.104
38	0.000871972	0.00107373	190.209
39	0.00107373	inf	190.209
