time_index	left_time_boundary	right_time_boundary	lambda_00	Ne.high	LeftYears.high	RightYears.high	Left_generations.high	Right_generations.high	Ne.reasonable	LeftYears.reasonable	RightYears.reasonable	Left_generations.reasonable	Right_generations.reasonable	Ne.low	LeftYears.low	RightYears.low	Left_generations.low	Right_generations.low
0	0	7.36929e-06	27839.1	600.240331838538	0	2462.83891755668	0	246.283891755668	2077.75499482571	0	3410.08465507848	0	852.52116376962	5800.3993605551	0	4759.90983104704	0	2379.95491552352
1	7.36929e-06	1.493e-05	24572.4	680.037384304596	2462.83891755668	4989.65097575495	246.283891755668	498.965097575495	2353.97556105437	3410.08465507848	6908.74750489147	852.52116376962	1727.18687622287	6571.51510794344	4759.90983104704	9643.46005891101	2379.95491552352	4821.7300294555
2	1.493e-05	2.26924e-05	8617.49	1939.09718747411	4989.65097575495	7583.8684395326	498.965097575495	758.38684395326	6712.25949510268	6908.74750489147	10500.7409162759	1727.18687622287	2625.18522906898	18738.391090495	9643.46005891101	14657.2841956351	4821.7300294555	7328.64209781755
3	2.26924e-05	3.06674e-05	5278.97	3165.41875064383	7583.8684395326	10249.1374637554	758.38684395326	1024.91374637554	10957.2187522286	10500.7409162759	14191.1134113536	2625.18522906898	3547.77835283839	30588.9023499716	14657.2841956351	19808.429136681	7328.64209781755	9904.2145683405
4	3.06674e-05	3.88672e-05	4003.8	4173.57276139823	10249.1374637554	12989.535325175	1024.91374637554	1298.9535325175	14446.9826356093	14191.1134113536	17985.5104502423	3547.77835283839	4496.37761256058	40331.1598577425	19808.429136681	25104.7750034632	9904.2145683405	12552.3875017316
5	3.88672e-05	4.73046e-05	3390.63	4928.33208639287	12989.535325175	15809.3398223508	1298.9535325175	1580.93398223508	17059.611068283	17985.5104502423	21889.8551386396	4496.37761256058	5472.4637846599	47624.7475656233	25104.7750034632	30554.5894643511	12552.3875017316	15277.2947321755
6	4.73046e-05	5.59939e-05	3078.36	5428.26395291202	15809.3398223508	18713.3300583607	1580.93398223508	1871.33300583607	18790.1444523878	21889.8551386396	25910.7646961917	5472.4637846599	6477.69117404793	52455.8199295825	30554.5894643511	36167.1090551009	15277.2947321755	18083.5545275505
7	5.59939e-05	6.49507e-05	2922.36	5718.03289878258	18713.3300583607	21706.7196001987	1871.33300583607	2170.67196001987	19793.1908034781	25910.7646961917	30055.4579079675	6477.69117404793	7513.86447699187	55255.9909930431	36167.1090551009	41952.4099965379	18083.5545275505	20976.204998269
8	6.49507e-05	7.41918e-05	2846.34	5870.7500235693	21706.7196001987	24795.123058474	2170.67196001987	2479.5123058474	20321.827004663	30055.4579079675	34331.7088501947	7513.86447699187	8582.92721254868	56731.7670546841	41952.4099965379	47921.3436033968	20976.204998269	23960.6718016984
9	7.41918e-05	8.3736e-05	2809.55	5947.62528593058	24795.123058474	27984.8234498203	2479.5123058474	2798.48234498203	20587.9336820674	34331.7088501947	38748.2170843665	8582.92721254868	9687.05427109163	57474.6481957714	47921.3436033968	54086.0530135949	23960.6718016984	27043.0265067975
