group block segsites
1 1 12137
1 2 13432
1 3 12548
1 4 12877
1 5 13402
1 6 13083
1 7 14760
1 8 12758
1 9 14805
1 10 13212
2 1 13253
2 2 13650
2 3 13550
2 4 13823
2 5 13290
2 6 13866
2 7 13650
2 8 13363
2 9 14093
2 10 13673
3 1 14410
3 2 14651
3 3 13924
3 4 15010
3 5 12306
3 6 14378
3 7 13790
3 8 12197
3 9 13811
3 10 15349
4 1 12848
4 2 13473
4 3 13808
4 4 13515
4 5 13162
4 6 14102
4 7 13649
4 8 13029
4 9 14093
4 10 14731
5 1 11757
5 2 14418
5 3 12654
5 4 13117
5 5 14573
5 6 11712
5 7 13507
5 8 12862
5 9 12526
5 10 14159
6 1 12419
6 2 12570
6 3 11827
6 4 14489
6 5 14306
6 6 13454
6 7 11943
6 8 13652
6 9 12986
6 10 13836
