time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.25383e-06	8868.57
1	3.25383e-06	6.59218e-06	18235.8
2	6.59218e-06	1.00196e-05	22286.5
3	1.00196e-05	1.35409e-05	22479.9
4	1.35409e-05	1.71614e-05	18317.8
5	1.71614e-05	2.08868e-05	14106.6
6	2.08868e-05	2.47235e-05	11287.8
7	2.47235e-05	2.86783e-05	9693.41
8	2.86783e-05	3.27586e-05	8924.05
9	3.27586e-05	3.69727e-05	8687.91
10	3.69727e-05	4.13297e-05	8994.4
11	4.13297e-05	4.58397e-05	8994.4
12	4.58397e-05	5.05136e-05	10027.1
13	5.05136e-05	5.5364e-05	10027.1
14	5.5364e-05	6.04046e-05	11383
15	6.04046e-05	6.5651e-05	11383
16	6.5651e-05	7.11207e-05	12646.9
17	7.11207e-05	7.68337e-05	12646.9
18	7.68337e-05	8.28124e-05	13490.2
19	8.28124e-05	8.90829e-05	13490.2
20	8.90829e-05	9.5675e-05	13693.2
21	9.5675e-05	0.000102624	13693.2
22	0.000102624	0.00010997	13151.4
23	0.00010997	0.000117761	13151.4
24	0.000117761	0.000126056	11866.6
25	0.000126056	0.000134923	11866.6
26	0.000134923	0.000144447	9934.42
27	0.000144447	0.000154734	9934.42
28	0.000154734	0.000165917	7545.66
29	0.000165917	0.000178166	7545.66
30	0.000178166	0.000191707	5026.64
31	0.000191707	0.000206844	5026.64
32	0.000206844	0.000224005	2819.87
33	0.000224005	0.000243817	2819.87
34	0.000243817	0.000267249	1280.65
35	0.000267249	0.000295927	1280.65
36	0.000295927	0.0003329	451.011
37	0.0003329	0.00038501	451.011
38	0.00038501	0.000474093	192.541
39	0.000474093	inf	192.541
