time_index	left_time_boundary	right_time_boundary	lambda_00	Ne.high	LeftYears.high	RightYears.high	Left_generations.high	Right_generations.high	Ne.reasonable	LeftYears.reasonable	RightYears.reasonable	Left_generations.reasonable	Right_generations.reasonable	Ne.low	LeftYears.low	RightYears.low	Left_generations.low	Right_generations.low
0	0	3.25944e-06	15059.4	1109.61596226186	0	1089.31466687306	0	108.931466687306	3840.97833090644	0	1508.28184643962	0	377.070461609904	10722.7311737805	0	2105.31007732196	0	1052.65503866098
1	3.25944e-06	6.60355e-06	20514.5	814.553151287443	1089.31466687306	2206.92630280955	108.931466687306	220.692630280955	2819.60706214884	1508.28184643962	3055.74411158246	377.070461609904	763.936027895614	7871.40304849884	2105.31007732196	4265.30948908384	1052.65503866098	2132.65474454192
2	6.60355e-06	1.00368e-05	23831.9	701.167369034204	2206.92630280955	3354.32879527511	220.692630280955	335.432879527511	2427.11781588763	3055.74411158246	4644.4552549963	763.936027895614	1161.11381374907	6775.70390268629	4265.30948908384	6482.885460099	2132.65474454192	3241.4427300495
3	1.00368e-05	1.35642e-05	21980.5	760.226137807886	3354.32879527511	4533.19650136205	335.432879527511	453.319650136205	2631.55201548884	4644.4552549963	6276.73361727052	1161.11381374907	1569.18340431763	7346.41604323966	6482.885460099	8761.2740074401	3241.4427300495	4380.63700372005
4	1.35642e-05	1.7191e-05	17240.5	969.238167227531	4533.19650136205	5745.28398688569	453.319650136205	574.528398688569	3355.05519424914	6276.73361727052	7955.00859722634	1569.18340431763	1988.75214930659	9366.19575061219	8761.2740074401	11103.8661669618	4380.63700372005	5551.93308348088
5	1.7191e-05	2.09228e-05	13281.2	1258.18078352003	5745.28398688569	6992.46278871572	574.528398688569	699.246278871572	4355.24117372319	7955.00859722634	9681.87155360638	1988.75214930659	2420.4678884016	12158.3816099772	11103.8661669618	13514.2790435756	5551.93308348088	6757.13952178778
6	2.09228e-05	2.47661e-05	10810.7	1545.70477601693	6992.46278871572	8276.90522643301	699.246278871572	827.6905226433	5350.5165323663	9681.87155360638	11460.3303135226	2420.4678884016	2865.08257838065	14936.8586528559	13514.2790435756	15996.7110626253	6757.13952178778	7998.35553131266
7	2.47661e-05	2.87277e-05	9481.9	1762.32090847681	8276.90522643301	9600.88388052214	827.6905226433	960.088388052214	6100.34160626587	11460.3303135226	13293.5315268768	2865.08257838065	3323.3828817192	17030.1203174922	15996.7110626253	18555.5544229322	7998.35553131266	9277.7772114661
8	2.87277e-05	3.28151e-05	8902.06	1877.11053644732	9600.88388052214	10966.9052735764	960.088388052214	1096.69052735764	6497.6903184715	13293.5315268768	15184.9457634135	3323.3828817192	3796.23644085338	18139.3854723996	18555.5544229322	21195.6534614314	9277.7772114661	10597.8267307157
9	3.28151e-05	3.70365e-05	8807.58	1897.24653333677	10966.9052735764	12377.7098702979	1096.69052735764	1237.77098702979	6567.39184616573	15184.9457634135	17138.3675127202	3796.23644085338	4284.59187818006	18333.9689038793	21195.6534614314	23922.304653172	10597.8267307157	11961.152326586
10	3.70365e-05	4.1401e-05	9258.01	1804.93978966174	12377.7098702979	13836.3389180999	1237.77098702979	1383.63389180999	6247.86850267524	17138.3675127202	19158.0077327536	4284.59187818006	4789.50193318841	17441.966236635	23922.304653172	26741.3857936353	11961.152326586	13370.6928968176
