time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.25944e-06	15059.4
1	3.25944e-06	6.60355e-06	20514.5
2	6.60355e-06	1.00368e-05	23831.9
3	1.00368e-05	1.35642e-05	21980.5
4	1.35642e-05	1.7191e-05	17240.5
5	1.7191e-05	2.09228e-05	13281.2
6	2.09228e-05	2.47661e-05	10810.7
7	2.47661e-05	2.87277e-05	9481.9
8	2.87277e-05	3.28151e-05	8902.06
9	3.28151e-05	3.70365e-05	8807.58
10	3.70365e-05	4.1401e-05	9258.01
11	4.1401e-05	4.59187e-05	9258.01
12	4.59187e-05	5.06007e-05	10371.2
13	5.06007e-05	5.54594e-05	10371.2
14	5.54594e-05	6.05087e-05	11688.1
15	6.05087e-05	6.57642e-05	11688.1
16	6.57642e-05	7.12434e-05	12854.4
17	7.12434e-05	7.69661e-05	12854.4
18	7.69661e-05	8.29552e-05	13621
19	8.29552e-05	8.92364e-05	13621
20	8.92364e-05	9.584e-05	13807.5
21	9.584e-05	0.000102801	13807.5
22	0.000102801	0.000110159	13285.5
23	0.000110159	0.000117964	13285.5
24	0.000117964	0.000126273	11996.8
25	0.000126273	0.000135155	11996.8
26	0.000135155	0.000144696	9981.07
27	0.000144696	0.000155001	9981.07
28	0.000155001	0.000166203	7422.87
29	0.000166203	0.000178473	7422.87
30	0.000178473	0.000192037	4724.11
31	0.000192037	0.000207201	4724.11
32	0.000207201	0.000224392	2449.91
33	0.000224392	0.000244237	2449.91
34	0.000244237	0.000267709	994.668
35	0.000267709	0.000296437	994.668
36	0.000296437	0.000333474	307.044
37	0.000333474	0.000385673	307.044
38	0.000385673	0.00047491	136.463
39	0.00047491	inf	136.463
