time_index	left_time_boundary	right_time_boundary	lambda_00	Ne.high	LeftYears.high	RightYears.high	Left_generations.high	Right_generations.high	Ne.reasonable	LeftYears.reasonable	RightYears.reasonable	Left_generations.reasonable	Right_generations.reasonable	Ne.low	LeftYears.low	RightYears.low	Left_generations.low	Right_generations.low
0	0	2.84694e-06	28846.9	579.270237775506	0	951.455924240845	0	95.1455924240845	2005.16620768444	0	1317.40051048732	0	329.350127621831	5597.75566311907	0	1838.87154588855	0	919.435772944277
1	2.84694e-06	5.76783e-06	74809.4	223.369665069981	951.455924240845	1927.62616125175	95.1455924240845	192.762616125175	773.202686780704	1317.40051048732	2669.02083865627	329.350127621831	667.255209664069	2158.5241672628	1838.87154588855	3725.50825395771	919.435772944277	1862.75412697886
2	5.76783e-06	8.76662e-06	27346.9	611.043687660621	1927.62616125175	2929.83081293187	192.762616125175	292.983081293187	2115.15122651754	2669.02083865627	4056.68881790567	667.255209664069	1014.17220447642	5904.79717402812	3725.50825395771	5662.46147499333	1862.75412697886	2831.23073749666
3	8.76662e-06	1.18476e-05	17349.9	963.126624481193	2929.83081293187	3959.50361020458	292.983081293187	395.950361020458	3333.89985397336	4056.68881790567	5482.38961412942	1014.17220447642	1370.59740353235	9307.13709234229	5662.46147499333	7652.50216972231	2831.23073749666	3826.25108486115
4	1.18476e-05	1.50153e-05	13666.2	1222.73569990826	3959.50361020458	5018.15849271623	395.950361020458	501.815849271623	4232.54665352859	5482.38961412942	6948.21945145324	1370.59740353235	1737.05486286331	11815.8594077673	7652.50216972231	9698.55631765348	3826.25108486115	4849.27815882674
5	1.50153e-05	1.82749e-05	11624.6	1437.48177331575	5018.15849271623	6107.52663207128	501.815849271623	610.752663207128	4975.89844609297	6948.21945145324	8456.57533671408	1737.05486286331	2114.14383417852	13891.0498286762	9698.55631765348	11803.9697408301	4849.27815882674	5901.98487041503
6	1.82749e-05	2.16318e-05	10379.5	1609.91864946156	6107.52663207128	7229.41272453691	610.752663207128	722.941272453691	5572.79532505924	8456.57533671408	10009.956080128	2114.14383417852	2502.48902003201	15557.3869491237	11803.9697408301	13972.2303618454	5901.98487041503	6986.11518092268
7	2.16318e-05	2.5092e-05	9687.18	1724.97575373703	7229.41272453691	8385.82198818776	722.941272453691	838.582198818776	5971.06991678201	10009.956080128	11611.1381374907	2502.48902003201	2902.78453437269	16669.2368510164	13972.2303618454	16207.2136502475	6986.11518092268	8103.60682512374
8	2.5092e-05	2.86621e-05	9402.97	1777.11410565877	8385.82198818776	9578.96016290597	838.582198818776	957.896016290597	6151.54882728036	11611.1381374907	13263.1756101775	2902.78453437269	3315.79390254437	17173.073809491	16207.2136502475	18513.1826225394	8103.60682512374	9256.5913112697
9	2.86621e-05	3.23493e-05	9423.08	1773.32152778988	9578.96016290597	10811.2335103811	957.896016290597	1081.12335103811	6138.42067311881	13263.1756101775	14969.400245143	3315.79390254437	3742.35006128576	17136.4243791233	18513.1826225394	20894.7878421788	9256.5913112697	10447.3939210894
10	3.23493e-05	3.61614e-05	9885.37	1690.39202600269	10811.2335103811	12085.2488141102	1081.12335103811	1208.52488141102	5851.35701308624	14969.400245143	16733.4214349218	3742.35006128576	4183.35535873045	16335.0383281991	20894.7878421788	23357.0674195783	10447.3939210894	11678.5337097892
11	3.61614e-05	4.01074e-05	9885.37	1690.39202600269	12085.2488141102	13404.0139012052	1208.52488141102	1340.40139012052	5851.35701308624	16733.4214349218	18559.4038632072	4183.35535873045	4639.85096580181	16335.0383281991	23357.0674195783	25905.8345590601	11678.5337097892	12952.9172795301
12	4.01074e-05	4.41968e-05	10922.9	1529.82730063319	13404.0139012052	14770.7037002844	1340.40139012052	1477.07037002844	5295.55604065334	18559.4038632072	20451.7435850092	4639.85096580181	5112.9358962523	14783.4272801572	25905.8345590601	28547.225420742	12952.9172795301	14273.612710371
13	4.41968e-05	4.84407e-05	10922.9	1529.82730063319	14770.7037002844	16189.0278647859	1477.07037002844	1618.90278647859	5295.55604065334	20451.7435850092	22415.5770435497	5112.9358962523	5603.89426088741	14783.4272801572	28547.225420742	31288.409623288	14273.612710371	15644.204811644
14	4.84407e-05	5.28509e-05	12166.1	1373.5010087116	16189.0278647859	17662.9299902564	1618.90278647859	1766.29299902564	4754.42656861709	22415.5770435497	24456.3646018934	5603.89426088741	6114.09115047335	13272.7741707227	31288.409623288	34137.0089234762	15644.204811644	17068.5044617381
15	5.28509e-05	5.74413e-05	12166.1	1373.5010087116	17662.9299902564	19197.0554985689	1766.29299902564	1919.70554985689	4754.42656861709	24456.3646018934	26580.5383826338	6114.09115047335	6645.13459565845	13272.7741707227	34137.0089234762	37102.0014924263	17068.5044617381	18551.0007462132
16	5.74413e-05	6.2227e-05	13304	1256.02455066794	19197.0554985689	20796.4508552112	1919.70554985689	2079.64508552112	4347.77729077363	26580.5383826338	28795.0857995232	6645.13459565845	7198.7714498808	12137.544936743	37102.0014924263	40193.1405951678	18551.0007462132	20096.5702975839
