time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.00304e-06	24669.5
1	3.00304e-06	6.0841e-06	71944.1
2	6.0841e-06	9.24732e-06	28029.5
3	9.24732e-06	1.24972e-05	16698.6
4	1.24972e-05	1.58387e-05	12976.3
5	1.58387e-05	1.9277e-05	11190.6
6	1.9277e-05	2.2818e-05	10190.2
7	2.2818e-05	2.64679e-05	9672.32
8	2.64679e-05	3.02338e-05	9510.21
9	3.02338e-05	3.41231e-05	9619.77
10	3.41231e-05	3.81443e-05	10168
11	3.81443e-05	4.23066e-05	10168
12	4.23066e-05	4.66203e-05	11252.6
13	4.66203e-05	5.10968e-05	11252.6
14	5.10968e-05	5.5749e-05	12463
15	5.5749e-05	6.0591e-05	12463
16	6.0591e-05	6.56392e-05	13488.6
17	6.56392e-05	7.09118e-05	13488.6
18	7.09118e-05	7.64297e-05	14077.5
19	7.64297e-05	8.22169e-05	14077.5
20	8.22169e-05	8.8301e-05	14038.4
21	8.8301e-05	9.47141e-05	14038.4
22	9.47141e-05	0.000101494	13250.9
23	0.000101494	0.000108685	13250.9
24	0.000108685	0.00011634	11697.1
25	0.00011634	0.000124524	11697.1
26	0.000124524	0.000133314	9490.56
27	0.000133314	0.000142808	9490.56
28	0.000142808	0.000153129	6902.83
29	0.000153129	0.000164434	6902.83
30	0.000164434	0.000176931	4362.74
31	0.000176931	0.000190902	4362.74
32	0.000190902	0.00020674	2323.34
33	0.00020674	0.000225025	2323.34
34	0.000225025	0.000246651	1016.38
35	0.000246651	0.000273119	1016.38
36	0.000273119	0.000307242	354.323
37	0.000307242	0.000355336	354.323
38	0.000355336	0.000437552	158.963
39	0.000437552	inf	158.963
