group block segsites
1 1 45883
1 2 45885
1 3 43251
1 4 42280
1 5 52143
1 6 45283
1 7 42044
1 8 48558
1 9 45090
1 10 50389
2 1 39497
2 2 45098
2 3 43509
2 4 46303
2 5 39695
2 6 46152
2 7 42111
2 8 42487
2 9 40184
2 10 43407
3 1 43163
3 2 44631
3 3 36368
3 4 43422
3 5 44002
3 6 37913
3 7 48703
3 8 42944
3 9 50600
3 10 34437
4 1 50603
4 2 44594
4 3 41989
4 4 42527
4 5 49183
4 6 45999
4 7 43485
4 8 39964
4 9 44544
4 10 42983
5 1 43399
5 2 47192
5 3 42597
5 4 40823
5 5 46304
5 6 35213
5 7 48865
5 8 39771
5 9 42696
5 10 49482
6 1 47620
6 2 42071
6 3 42231
6 4 47521
6 5 46878
6 6 42288
6 7 49583
6 8 37696
6 9 41897
6 10 45497
