group block segsites
1 1 5509
1 2 5679
1 3 5296
1 4 5985
1 5 5899
1 6 6932
1 7 5992
1 8 5708
1 9 5378
1 10 6591
2 1 6739
2 2 6017
2 3 4731
2 4 5837
2 5 6137
2 6 5681
2 7 6153
2 8 5367
2 9 5381
2 10 5994
3 1 6965
3 2 6279
3 3 6030
3 4 5121
3 5 5090
3 6 6412
3 7 5424
3 8 6008
3 9 6168
3 10 5038
4 1 5907
4 2 5808
4 3 6019
4 4 6417
4 5 5655
4 6 5859
4 7 5313
4 8 6371
4 9 5579
4 10 5448
5 1 6204
5 2 6707
5 3 6173
5 4 5478
5 5 5758
5 6 6217
5 7 6116
5 8 6036
5 9 5176
5 10 5425
6 1 6560
6 2 6461
6 3 5833
6 4 5479
6 5 5903
6 6 6060
6 7 5685
6 8 6437
6 9 6393
6 10 5710
