group block segsites
1 1 7332
1 2 6065
1 3 6959
1 4 7084
1 5 6724
1 6 6407
1 7 7587
1 8 6383
1 9 6855
1 10 7142
2 1 7235
2 2 6531
2 3 6807
2 4 6730
2 5 6533
2 6 6805
2 7 6402
2 8 7361
2 9 6593
2 10 6186
3 1 6982
3 2 6453
3 3 6635
3 4 6413
3 5 6574
3 6 7402
3 7 6594
3 8 7729
3 9 6989
3 10 6654
4 1 6814
4 2 6263
4 3 6660
4 4 6620
4 5 7481
4 6 7098
4 7 6034
4 8 7367
4 9 7351
4 10 7180
5 1 6371
5 2 4
5 3 6281
5 4 6471
5 5 7136
5 6 7524
5 7 6836
5 8 6579
5 9 6766
5 10 7425
6 1 7605
6 2 7186
6 3 7233
6 4 7187
6 5 6242
6 6 7340
6 7 6317
6 8 7592
6 9 7164
6 10 6255
